Tsaft;1;0;0;1;0;0
Azlaf;1;0;0;1;0;0
Bni bouifrour;1;0;0;1;0;0
Agence el houceima;1;1;1;1;1;1
Temsamane;1;0;0;1;0;0
Ouarzazate;1;1;1;1;1;1
Zagora;1;0;0;0;0;0
Tazenakht;0;0;0;1;0;0
Agdz;0;0;0;0;1;0
Boumalne dadès;0;0;1;0;0;0
El kelaa des mgouna;0;0;1;0;0;0
Foum zguid;0;0;0;1;0;0
Skoura;0;0;1;0;0;0
Tabounte;1;1;1;1;1;1
M'semrir;0;0;1;0;0;0
Tazarine;0;0;0;0;1;0
Tagounite;1;0;0;0;0;0
M'hamid el ghizlane;1;0;0;0;0;0
Tamgroute;1;0;0;0;0;0
Ait zineb;0;1;0;0;0;0
Tamezmoute;1;0;0;0;0;0
Toundoute;0;0;1;0;0;0
Nkoub;0;0;0;0;1;0
Tarmigte;1;1;1;1;1;1
Kasbah Ait Ben Hadda;0;1;0;0;0;0
Agouim;0;1;0;0;0;0
Alougoum;0;0;0;1;0;0
Ighrem nougdal;0;1;0;0;0;0
Amerzegane;0;1;0;0;0;0
Boumalen;0;0;1;0;0;0
Telouet;0;1;0;0;0;0
Tinzouline;1;0;0;0;0;0
Taghbalt;0;0;0;0;1;0
Bni zoli;1;0;0;0;0;0
Tafetchna;0;0;0;0;1;0
Afra;0;0;0;0;1;0
Tidili ighram;0;1;0;0;0;0
Aït benhaddou;0;1;0;0;0;0
Idelsane;0;0;1;0;0;0
Oujda;1;1;1;1;1;1
El Aïoun Sidi Mellouk;0;0;0;0;1;0
Ain beni mathar;0;1;0;0;0;0
Figuig;0;1;0;0;0;0
Bouarfa;0;1;0;0;0;0
Bni drar;0;0;0;0;1;0
Jerada;0;1;0;0;0;0
Naima;0;0;0;0;1;0
Oued heimer;0;0;0;1;0;0
Tendrara;0;1;0;0;0;0
Touissit;0;0;0;1;0;0
Laayoune nord;0;0;0;0;1;0
Sidi bouhria;0;0;0;0;1;0
Mestferki;0;0;0;1;0;0
Guenfouda;0;1;0;0;0;0
Agence berkane;1;1;1;1;1;1
Isly;0;0;0;0;1;0
Merija;0;1;0;0;0;0
Beni drar;0;0;0;0;1;0
Rabat;1;1;1;1;1;1
Salé;1;1;1;1;1;1
Tamesna;0;1;0;1;0;1
Skhirate;1;0;1;0;1;0
Ain el aouda;0;1;0;1;0;1
Harhoura;1;1;1;1;1;1
Sidi bouknadel;1;0;0;1;0;0
Sala al jadida;1;1;1;1;1;1
Ain atiq;1;0;1;0;1;0
Sidi yahya zaer;0;1;0;1;0;1
Souk el had sebbahe;1;0;1;0;1;0
El menzeh;0;1;0;1;0;1
Agence salé;1;1;1;1;1;1
Agence témara;1;1;1;1;1;1
Om azza;0;1;0;1;0;1
Laayayda;1;1;1;1;1;1
salé;1;1;1;1;1;1
Témara;1;1;1;1;1;1
Safi;1;1;1;1;1;1
Youssoufia;0;0;1;0;0;0
Bouguedra;0;0;1;0;0;0
Echemmaia;0;0;1;0;0;0
Ighoud;0;1;0;0;0;0
Jamaat shaim;0;0;1;0;0;0
Laakarta;0;0;0;1;0;0
Ras el ain;0;0;1;0;0;0
Sebt gzoula;0;1;0;0;0;0
Sidi ahmed;0;0;1;0;0;0
Agence essaouira;1;1;1;1;1;1
Kasbat ayir;0;0;0;1;0;0
Hrara;0;0;0;1;0;0
El Maachate;1;0;0;0;0;0
Labkhati;0;0;1;0;0;0
Jdour;0;0;1;0;0;0
Saadla;0;0;0;1;0;0
Bedouza;0;0;0;1;0;0
Moul bergui;0;0;0;1;0;0
Laouamra;0;0;1;0;0;0
Laaouamera;0;0;1;0;0;0
Lmnassra;1;0;0;0;0;0
Settat;1;1;1;1;1;1
Berrechid;1;1;1;1;1;1
El borouj;1;0;0;0;0;0
El gara;0;0;0;0;1;0
Guisser;1;0;0;0;0;0
Oulad abbou;0;1;0;0;0;0
Oulad h'riz sahel;0;1;0;0;0;0
Oulad said;0;0;0;0;0;1
Sidi hajjaj oulad mrah;0;0;1;0;0;0
Quasbatt dar chafaye;1;0;0;0;0;0
Bni khloug;1;0;0;0;0;0
Mezoura;0;0;0;0;0;1
Ouled faress;0;0;1;0;0;0
Had mzoura ;0;0;0;0;0;1
Oulad azzouz;0;0;0;0;1;0
Beni khloug;1;0;0;0;0;0
Sidi mohamed ben rahal;0;0;0;0;0;1
Kasbat ben mchich;0;1;0;0;0;0
Ras el ain chaouia;0;0;1;0;0;0
Tanger;1;1;1;1;1;1
Ksar sghir;1;0;0;0;0;0
Asilah;0;0;1;0;1;0
Dar chaoui;0;0;1;0;0;0
Gueznaia;1;1;1;1;1;1
